"iso"	"lang"	"dialect"	"genetics"	"vowel"	"f1"	"f2"	"f3"
"ben"	"Bengali"	"Bangladesh"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"a"	694	1371	2288
"ben"	"Bengali"	"Bangladesh"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"ɔ"	586	1109	2344
"ben"	"Bengali"	"Bangladesh"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"o"	423	1034	2404
"ben"	"Bengali"	"Bangladesh"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"u"	347	1001	2551
"bjv"	"Bedjond"	"Beda"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"i"	305	2091	NA
"bjv"	"Bedjond"	"Beda"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"e"	401	1565	NA
"bjv"	"Bedjond"	"Beda"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"a"	700	1340	NA
"bjv"	"Bedjond"	"Beda"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"ɔ"	558	1086	NA
"bjv"	"Bedjond"	"Beda"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"o"	386	853	NA
"bjv"	"Bedjond"	"Beda"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"u"	305	721	NA
"bjv"	"Bedjond"	"Bediondo"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"i"	168	1968	2936
"bjv"	"Bedjond"	"Bediondo"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"e"	375	1874	2578
"bjv"	"Bedjond"	"Bediondo"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"a"	680	1281	NA
"bjv"	"Bedjond"	"Bediondo"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"ɔ"	581	950	NA
"bjv"	"Bedjond"	"Bediondo"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"o"	386	765	2251
"bjv"	"Bedjond"	"Bediondo"	"NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara"	"u"	201	683	2220
"bnh"	"Banawa"	""	"Arawakan>Arauan"	"i"	311	2320	2822
"bnh"	"Banawa"	""	"Arawakan>Arauan"	"e"	591	1869	2741
"bnh"	"Banawa"	""	"Arawakan>Arauan"	"a"	758	1422	2593
"bnh"	"Banawa"	""	"Arawakan>Arauan"	"u"	396	883	2685
"boa"	"Bora"	""	"Witotoan>Boran"	"i"	324	2257	3221
"boa"	"Bora"	""	"Witotoan>Boran"	"e"	494	2138	2979
"boa"	"Bora"	""	"Witotoan>Boran"	"a"	808	1431	2530
"boa"	"Bora"	""	"Witotoan>Boran"	"o"	552	912	2334
"boa"	"Bora"	""	"Witotoan>Boran"	"ɨ"	396	1781	2891
